"ID","TOKEN","NER"
"1","ΑΛΚΙΔΑΜΑΝΤΟΣ","PERSON"
"2","ΠΕΡΙ","O"
"3","ΤΩΝ","O"
"4","ΤΟΥΣ","O"
"5","ΓΡΑΠΤΟΥΣ","O"
"6","ΛΟΓΟΥΣ","O"
"7","ΓΡΑΦΟΝΤΩΝ","O"
"8","Η","O"
"9","ΠΕΡΙ","O"
"10","ΣΟΦΙΣΤΩΝ","O"
"11",".","O"
"12","Ἐπειδή","O"
"13","τινες","O"
"14","τῶν","O"
"15","καλουμένων","O"
"16","σοφιστῶν","O"
"17","ἱστορίας","O"
"18","μὲν","O"
"19","καὶ","O"
"20","παιδείας","O"
"21","ἠμελήκασι","O"
"22","καὶ","O"
"23","τοῦ","O"
"24","δύνασθαι","O"
"25","λέγειν","O"
"26","ὁμοίως","O"
"27","τοῖς","O"
"28","ἰδιώταις","O"
"29","ἀπείρως","O"
"30","ἔχουσι","O"
"31",",","O"
"32","γράφειν","O"
"33","δὲ","O"
"34","μεμελετηκότες","O"
"35","λόγους","O"
"36","καὶ","O"
"37","διὰ","O"
"38","βιβλίων","O"
"39","δεικνύντες","O"
"40","τὴν","O"
"41","αὑτῶν","O"
"42","σοφίαν","O"
"43","σεμνύνονται","O"
"44","καὶ","O"
"45","μέγα","O"
"46","φρονοῦσι","O"
"47","καὶ","O"
"48","πολλοστὸν","O"
"49","μέρος","O"
"50","τῆς","O"
"51","ῥητορικῆς","O"
"52","κεκτημένοι","O"
"53","δυνάμεως","O"
"54","τῆς","O"
"55","ὅλης","O"
"56","τέχνης","O"
"57","ἀμφισβητοῦσι","O"
"58",",","O"
"59","διὰ","O"
"60","ταύτην","O"
"61","τὴν","O"
"62","αἰτίαν","O"
"63","ἐπιχειρήσω","O"
"64","κατηγορίαν","O"
"65","ποιήσασθαι","O"
"66","τῶν","O"
"67","γραπτῶν","O"
"68","λόγων","O"
"69",",","O"
"70","οὐχ","O"
"71","ὡς","O"
"72","ἀλλοτρίαν","O"
"73","ἐμαυτοῦ","O"
"74","τὴν","O"
"75","δύναμιν","O"
"76","αὐτῶν","O"
"77","ἡγούμενος","O"
"78",",","O"
"79","ἀλλ᾿","O"
"80","ὡς","O"
"81","ἐφ᾿","O"
"82","ἑτέροις","O"
"83","μεῖζον","O"
"84","φρονῶν","O"
"85","καὶ","O"
"86","τὸ","O"
"87","γράφειν","O"
"88","ἐν","O"
"89","παρέργῳ","O"
"90","μελετᾶν","O"
"91","οἰόμενος","O"
"92","χρῆναι","O"
"93",",","O"
"94","καὶ","O"
"95","τοὺς","O"
"96","ἐπ᾿","O"
"97","αὐτὸ","O"
"98","τοῦτο","O"
"99","τὸν","O"
"100","βίον","O"
"101","καταναλίσκοντας","O"
"102","ἀπολελεῖφθαι","O"
"103","πολὺ","O"
"104","καὶ","O"
"105","ῥητορικῆς","O"
"106","καὶ","O"
"107","φιλοσοφίας","O"
"108","ὑπειληφώς","O"
"109",",","O"
"110","καὶ","O"
"111","πολὺ","O"
"112","δικαιότερον","O"
"113","ἂν","O"
"114","ποιητὰς","O"
"115","ἢ","O"
"116","σοφιστὰς","O"
"117","προσαγορεύεσθαι","O"
"118","νομίζων","O"
"119",".","O"
"120","Πρῶτον","O"
"121","μὲν","O"
"122","οὖν","O"
"123","ἐντεῦθεν","O"
"124","ἄν","O"
"125","τις","O"
"126","καταφρονήσειε","O"
"127","τοῦ","O"
"128","γράφειν","O"
"129",",","O"
"130","ἐξ","O"
"131","ὧν","O"
"132","ἐστιν","O"
"133","εὐεπίθετον","O"
"134","καὶ","O"
"135","ῥᾴδιον","O"
"136","καὶ","O"
"137","τῇ","O"
"138","τυχούσῃ","O"
"139","φύσει","O"
"140","πρόχειρον","O"
"141",".","O"
"142","εἰπεῖν","O"
"143","μὲν","O"
"144","γὰρ","O"
"145","ἐκ","O"
"146","τοῦ","O"
"147","παραυτίκα","O"
"148","περὶ","O"
"149","τοῦ","O"
"150","παρατυχόντος","O"
"151","ἐπιεικῶς","O"
"152",",","O"
"153","καὶ","O"
"154","ταχείᾳ","O"
"155","χρήσασθαι","O"
"156","τῶν","O"
"157","ἐνθυμημάτων","O"
"158","καὶ","O"
"159","τῶν","O"
"160","ὀνομάτων","O"
"161","εὐπορίᾳ","O"
"162",",","O"
"163","καὶ","O"
"164","τῷ","O"
"165","καιρῷ","O"
"166","τῶν","O"
"167","πραγμάτων","O"
"168","καὶ","O"
"169","ταῖς","O"
"170","ἐπιθυμίαις","O"
"171","τῶν","O"
"172","ἀνθρώπων","O"
"173","εὐστόχως","O"
"174","ἀκολουθῆσαι","O"
"175","καὶ","O"
"176","τὸν","O"
"177","προσήκοντα","O"
"178","λόγον","O"
"179","εἰπεῖν","O"
"180","οὔτε","O"
"181","φύσεως","O"
"182","ἁπάσης","O"
"183","οὔτε","O"
"184","παιδείας","O"
"185","τῆς","O"
"186","τυχούσης","O"
"187","ἐστίν","O"
"188","·","O"
"189","ἐν","O"
"190","πολλῷ","O"
"191","δὲ","O"
"192","χρόνῳ","O"
"193","γράψαι","O"
"194","καὶ","O"
"195","κατὰ","O"
"196","σχολὴν","O"
"197","ἐπανορθῶσαι","O"
"198",",","O"
"199","καὶ","O"
"200","παραθέμενον","O"
"201","τὰ","O"
"202","τῶν","O"
"203","προγεγονότων","O"
"204","σοφιστῶν","O"
"205","συγγράμματα","O"
"206","πολλαχόθεν","O"
"207","εἰς","O"
"208","ταὐτὸν","O"
"209","ἐνθυμήματα","O"
"210","συναγεῖραι","O"
"211","καὶ","O"
"212","μιμήσασθαι","O"
"213","τὰς","O"
"214","τῶν","O"
"215","εὖ","O"
"216","λεγομένων","O"
"217","ἐπιτυχίας","O"
"218",",","O"
"219","καὶ","O"
"220","τὰ","O"
"221","μὲν","O"
"222","ἐκ","O"
"223","τῆς","O"
"224","τῶν","O"
"225","ἰδιωτῶν","O"
"226","συμβουλίας","O"
"227","ἐπανορθώσασθαι","O"
"228",",","O"
"229","τὰ","O"
"230","δ᾿","O"
"231","αὐτὸν","O"
"232","ἐν","O"
"233","ἑαυτῷ","O"
"234","πολλάκις","O"
"235","ἐπισκεψάμενον","O"
"236","ἀνακαθῆραι","O"
"237","καὶ","O"
"238","μεταγράψαι","O"
"239","καὶ","O"
"240","τοῖς","O"
"241","ἀπαιδεύτοις","O"
"242","ῥᾴδιον","O"
"243","πέφυκεν","O"
"244",".","O"
"245","ἔστι","O"
"246","δ᾿","O"
"247","ἅπαντα","O"
"248","τὰ","O"
"249","μὲν","O"
"250","ἀγαθὰ","O"
"251","καὶ","O"
"252","καλὰ","O"
"253","σπάνια","O"
"254","καὶ","O"
"255","χαλεπὰ","O"
"256","καὶ","O"
"257","διὰ","O"
"258","πόνων","O"
"259","εἰωθότα","O"
"260","γίγνεσθαι","O"
"261",",","O"
"262","τὰ","O"
"263","δὲ","O"
"264","ταπεινὰ","O"
"265","καὶ","O"
"266","φαῦλα","O"
"267","ῥᾳδίαν","O"
"268","ἔχει","O"
"269","τὴν","O"
"270","κτῆσιν","O"
"271","·","O"
"272","ὥστ᾿","O"
"273","ἐπειδὴ","O"
"274","τὸ","O"
"275","γράφειν","O"
"276","τοῦ","O"
"277","λέγειν","O"
"278","ἑτοιμότερον","O"
"279","ἡμῖν","O"
"280","ἐστιν","O"
"281",",","O"
"282","εἰκότως","O"
"283","ἂν","O"
"284","αὐτοῦ","O"
"285","καὶ","O"
"286","τὴν","O"
"287","κτῆσιν","O"
"288","ἐλάττονος","O"
"289","ἀξίαν","O"
"290","νομίζοιμεν","O"
"291",".","O"
"292","Ἔπειτα","O"
"293","τοῖς","O"
"294","μὲν","O"
"295","λέγειν","O"
"296","δεινοῖς","O"
"297","οὐδεὶς","O"
"298","ἂν","O"
"299","φρονῶν","O"
"300","ἀπιστήσειεν","O"
"301","ὡς","O"
"302","οὐ","O"
"303","μικρὸν","O"
"304","τὴν","O"
"305","τῆς","O"
"306","ψυχῆς","O"
"307","ἕξιν","O"
"308","μεταρρυθμίσαντες","O"
"309","ἐπιεικῶς","O"
"310","λογογραφήσουσι","O"
"311",",","O"
"312","τοῖς","O"
"313","δὲ","O"
"314","γράφειν","O"
"315","ἠσκημένοις","O"
"316","οὐδεὶς","O"
"317","ἂν","O"
"318","πιστεύσειεν","O"
"319","ὡς","O"
"320","ἀπὸ","O"
"321","τῆς","O"
"322","αὐτῆς","O"
"323","δυνάμεως","O"
"324","καὶ","O"
"325","λέγειν","O"
"326","οἷοί","O"
"327","τ᾿","O"
"328","ἔσονται","O"
"329",".","O"
"330","τοὺς","O"
"331","μὲν","O"
"332","γὰρ","O"
"333","τὰ","O"
"334","χαλεπὰ","O"
"335","τῶν","O"
"336","ἔργων","O"
"337","ἐπιτελοῦντας","O"
"338","εἰκός","O"
"339",",","O"
"340","ὅταν","O"
"341","ἐπὶ","O"
"342","τὰ","O"
"343","ῥᾴω","O"
"344","τὴν","O"
