"ID","TOKEN","LEMMA"
"1","ΜΩΣ","ΜΩΣ"
"2",".","."
"3","ἔα","ἐάω"
"4","·","·"
"5","τί","τίς"
"6","μοι","ἐγώ"
"7","σημεῖον","σημεῖον"
"8","ἐκ","ἐκ"
"9","βάτου","βάτος"
"10","τόδε","ὅδε"
"11",",",","
"12","τεράστιόν","τεράστιος"
"13","τε","τε"
"14","καὶ","καί"
"15","βροτοῖς","βροτός"
"16","ἀπιστία","ἀπιστία"
"17",";",";"
"18","ἄφνω","ἄφνω"
"19","βάτος","βάτος"
"20","μὲν","μέν"
"21","καίεται","καίω"
"22","πολλῷ","πολύς"
"23","πυρί","πῦρ"
"24",",",","
"25","αὐτοῦ","αὐτός"
"26","δὲ","δέ"
"27","χλωρὸν","χλωρός"
"28","πᾶν","πᾶς"
"29","μένει","μένω"
"30","τὸ","ὁ"
"31","βλαστάνον","βλαστάνος"
"32",".","."
"33","τί","τίς"
"34","δή","δή"
"35",";",";"
"36","προελθὼν","προέρχομαι"
"37","ὄψομαι","ὁράω"
"38","τεράστιον","τεράστιος"
"39","μέγιστον","μέγας"
"40","·","·"
"41","οὐ","οὐ"
"42","γὰρ","γάρ"
"43","πίστιν","πίστις"
"44","ἀνθρώποις","ἄνθρωπος"
"45","φέρει","φέρω"
"46",".","."
