"ID","TOKEN","IS_PUNCT"
"1","Παῦλος","FALSE"
"2","ἀπόστολος","FALSE"
"3","Χριστοῦ","FALSE"
"4","Ἰησοῦ","FALSE"
"5","διὰ","FALSE"
"6","θελήματος","FALSE"
"7","θεοῦ","FALSE"
"8","καὶ","FALSE"
"9","Τιμόθεος","FALSE"
"10","ὁ","FALSE"
"11","ἀδελφὸς","FALSE"
"12","τῇ","FALSE"
"13","ἐκκλησίᾳ","FALSE"
"14","τοῦ","FALSE"
"15","θεοῦ","FALSE"
"16","τῇ","FALSE"
"17","οὔσῃ","FALSE"
"18","ἐν","FALSE"
"19","Κορίνθῳ","FALSE"
"20",",","TRUE"
"21","σὺν","FALSE"
"22","τοῖς","FALSE"
"23","ἁγίοις","FALSE"
"24","πᾶσιν","FALSE"
"25","τοῖς","FALSE"
"26","οὖσιν","FALSE"
"27","ἐν","FALSE"
"28","ὅλῃ","FALSE"
"29","τῇ","FALSE"
"30","Ἀχαΐᾳ","FALSE"
"31","·","TRUE"
"32","χάρις","FALSE"
"33","ὑμῖν","FALSE"
"34","καὶ","FALSE"
"35","εἰρήνη","FALSE"
"36","ἀπὸ","FALSE"
"37","θεοῦ","FALSE"
"38","πατρὸς","FALSE"
"39","ἡμῶν","FALSE"
"40","καὶ","FALSE"
"41","κυρίου","FALSE"
"42","Ἰησοῦ","FALSE"
"43","Χριστοῦ","FALSE"
"44",".","TRUE"
"45","Εὐλογητὸς","FALSE"
"46","ὁ","FALSE"
"47","θεὸς","FALSE"
"48","καὶ","FALSE"
"49","πατὴρ","FALSE"
"50","τοῦ","FALSE"
"51","κυρίου","FALSE"
"52","ἡμῶν","FALSE"
"53","Ἰησοῦ","FALSE"
"54","Χριστοῦ","FALSE"
"55",",","TRUE"
"56","ὁ","FALSE"
"57","πατὴρ","FALSE"
"58","τῶν","FALSE"
"59","οἰκτιρμῶν","FALSE"
"60","καὶ","FALSE"
"61","θεὸς","FALSE"
"62","πάσης","FALSE"
"63","παρακλήσεως","FALSE"
"64",",","TRUE"
"65","ὁ","FALSE"
"66","παρακαλῶν","FALSE"
"67","ἡμᾶς","FALSE"
"68","ἐπὶ","FALSE"
"69","πάσῃ","FALSE"
"70","τῇ","FALSE"
"71","θλίψει","FALSE"
"72","ἡμῶν","FALSE"
"73",",","TRUE"
"74","εἰς","FALSE"
"75","τὸ","FALSE"
"76","δύνασθαι","FALSE"
"77","ἡμᾶς","FALSE"
"78","παρακαλεῖν","FALSE"
"79","τοὺς","FALSE"
"80","ἐν","FALSE"
"81","πάσῃ","FALSE"
"82","θλίψει","FALSE"
"83","διὰ","FALSE"
"84","τῆς","FALSE"
"85","παρακλήσεως","FALSE"
"86","ἧς","FALSE"
"87","παρακαλούμεθα","FALSE"
"88","αὐτοὶ","FALSE"
"89","ὑπὸ","FALSE"
"90","τοῦ","FALSE"
"91","θεοῦ","FALSE"
"92",".","TRUE"
"93","ὅτι","FALSE"
"94","καθὼς","FALSE"
"95","περισσεύει","FALSE"
"96","τὰ","FALSE"
"97","παθήματα","FALSE"
"98","τοῦ","FALSE"
"99","Χριστοῦ","FALSE"
"100","εἰς","FALSE"
"101","ἡμᾶς","FALSE"
"102",",","TRUE"
"103","οὕτως","FALSE"
"104","διὰ","FALSE"
"105","τοῦ","FALSE"
"106","Χριστοῦ","FALSE"
"107","περισσεύει","FALSE"
"108","καὶ","FALSE"
"109","ἡ","FALSE"
"110","παράκλησις","FALSE"
"111","ἡμῶν","FALSE"
"112",".","TRUE"
"113","εἴτε","FALSE"
"114","δὲ","FALSE"
"115","θλιβόμεθα","FALSE"
"116",",","TRUE"
"117","ὑπὲρ","FALSE"
"118","τῆς","FALSE"
"119","ὑμῶν","FALSE"
"120","παρακλήσεως","FALSE"
"121","καὶ","FALSE"
"122","σωτηρίας","FALSE"
"123","·","TRUE"
"124","εἴτε","FALSE"
"125","παρακαλούμεθα","FALSE"
"126",",","TRUE"
"127","ὑπὲρ","FALSE"
"128","τῆς","FALSE"
"129","ὑμῶν","FALSE"
"130","παρακλήσεως","FALSE"
"131","τῆς","FALSE"
"132","ἐνεργουμένης","FALSE"
"133","ἐν","FALSE"
"134","ὑπομονῇ","FALSE"
"135","τῶν","FALSE"
"136","αὐτῶν","FALSE"
"137","παθημάτων","FALSE"
"138","ὧν","FALSE"
"139","καὶ","FALSE"
"140","ἡμεῖς","FALSE"
"141","πάσχομεν","FALSE"
"142",",","TRUE"
"143","καὶ","FALSE"
"144","ἡ","FALSE"
"145","ἐλπὶς","FALSE"
"146","ἡμῶν","FALSE"
"147","βεβαία","FALSE"
"148","ὑπὲρ","FALSE"
"149","ὑμῶν","FALSE"
"150","·","TRUE"
"151","εἰδότες","FALSE"
"152","ὅτι","FALSE"
"153","ὡς","FALSE"
"154","κοινωνοί","FALSE"
"155","ἐστε","FALSE"
"156","τῶν","FALSE"
"157","παθημάτων","FALSE"
"158",",","TRUE"
"159","οὕτως","FALSE"
"160","καὶ","FALSE"
"161","τῆς","FALSE"
"162","παρακλήσεως","FALSE"
"163",".","TRUE"
"164","Οὐ","FALSE"
"165","γὰρ","FALSE"
"166","θέλομεν","FALSE"
"167","ὑμᾶς","FALSE"
"168","ἀγνοεῖν","FALSE"
"169",",","TRUE"
"170","ἀδελφοί","FALSE"
"171",",","TRUE"
"172","ὑπὲρ","FALSE"
"173","τῆς","FALSE"
"174","θλίψεως","FALSE"
"175","ἡμῶν","FALSE"
"176","τῆς","FALSE"
"177","γενομένης","FALSE"
"178","ἐν","FALSE"
"179","τῇ","FALSE"
"180","Ἀσίᾳ","FALSE"
"181",",","TRUE"
"182","ὅτι","FALSE"
"183","καθʼ","FALSE"
"184","ὑπερβολὴν","FALSE"
