"ID","TOKEN","UPOS"
"1","Τῶν","DET"
"2","κυριωτάτων","ADJ"
"3","Πλάτωνος","PROPN"
"4","δογμάτων","NOUN"
"5","τοιαύτη","DET"
"6","ἄν","ADV"
"7","τις","DET"
"8","διδασκαλία","NOUN"
"9","γένοιτο","VERB"
"10",".","PUNCT"
"11","φιλοσοφία","NOUN"
"12","ἐστὶν","AUX"
"13","ὄρεξις","NOUN"
"14","σοφίας","NOUN"
"15",",","PUNCT"
"16","ἢ","CCONJ"
"17","λύσις","NOUN"
"18","καὶ","CCONJ"
"19","περιαγωγὴ","NOUN"
"20","ψυχῆς","NOUN"
"21","ἀπὸ","ADP"
"22","σώματος","NOUN"
"23",",","PUNCT"
"24","ἐπὶ","ADP"
"25","τὰ","DET"
"26","νοητὰ","ADJ"
"27","ημῶντρπομένων","VERB"
"28","καὶ","CCONJ"
"29","τὰ","DET"
"30","κατ᾽","ADP"
"31","ἀλήθειαν","NOUN"
"32","ὄντα","AUX"
"33","·","PUNCT"
"34","σοφία","NOUN"
"35","δέ","ADV"
"36","ἐστιν","AUX"
"37","ἐπιστήμη","NOUN"
"38","θείων","ADJ"
"39","καὶ","CCONJ"
"40","ἀνθρωπίνων","ADJ"
"41","πραγμάτων","NOUN"
"42",".","PUNCT"
"43","φιλόσοφος","NOUN"
"44","δέ","ADV"
"45","ἐστιν","AUX"
"46","ὁ","DET"
"47","παρωνύμως","ADV"
"48","ὠνομασμένος","VERB"
"49","ἀπὸ","ADP"
"50","τῆς","DET"
"51","φιλοσοφίας","NOUN"
"52",",","PUNCT"
"53","ὡς","ADV"
"54","ὁ","DET"
"55","μουσικὸς","NOUN"
"56","ἀπὸ","ADP"
"57","τῆς","DET"
"58","μουσικῆς","NOUN"
"59","·","PUNCT"
"60","πεφυκέναι","VERB"
"61","δὲ","ADV"
"62","τοῦτον","ADJ"
"63","χρὴ","VERB"
"64","πρῶτον","ADJ"
"65","μὲν","ADV"
"66","πρὸς","ADP"
"67","τὰ","DET"
"68","μαθήματα","NOUN"
"69",",","PUNCT"
"70","ὅσα","PRON"
"71","δύναται","VERB"
"72","προσοικειοῦν","VERB"
"73","καὶ","CCONJ"
"74","προσάγειν","VERB"
"75","αὐτὸν","PRON"
"76","τῇ","DET"
"77","γνώσει","NOUN"
"78","τῆς","DET"
"79","νοητῆς","ADJ"
"80","οὐσίας","NOUN"
"81","καὶ","CCONJ"
"82","μὴ","ADV"
"83","πλανωμένης","VERB"
"84","τε","CCONJ"
"85","καὶ","CCONJ"
"86","ῥευστῆς","ADJ"
"87",",","PUNCT"
"88","ἔπειτα","ADV"
"89","δὲ","ADV"
"90","πρὸς","ADP"
"91","τὴν","DET"
"92","ἀλήθειαν","NOUN"
"93","ἔχειν","VERB"
"94","ἐρωτικῶς","ADV"
"95","καὶ","CCONJ"
"96","μηδαμῆ","ADV"
"97","πρςδέχεσθαι","VERB"
"98","τὸ","DET"
"99","ψεῦδος","NOUN"
"100",",","PUNCT"
"101","ἐπὶ","ADP"
"102","τούτοις","ADJ"
"103","δὲ","ADV"
"104","καὶ","ADV"
"105","φύσει","NOUN"
"106","πως","ADV"
"107","σώφρονα","ADJ"
"108","εἰναι","AUX"
"109","καὶ","CCONJ"
"110","κατὰ","ADP"
"111","τὸ","DET"
"112","παθητικὸν","ADJ"
"113","τῆς","DET"
"114","ψυχῆς","NOUN"
"115","φυσικῶς","ADV"
"116","κατεσταλμένον","VERB"
"117",".","PUNCT"
"118","ὁ","DET"
"119","γὰρ","ADV"
"120","ἐφιέμενος","VERB"
"121","μαθημάτων","NOUN"
"122","περὶ","ADP"
"123","τὰ","DET"
"124","ὄντα","AUX"
"125","καὶ","CCONJ"
"126","ἐπὶ","ADP"
"127","ταῦτα","ADJ"
"128","τρέπων","VERB"
"129","ἑαυτοῦ","PRON"
"130","τὴν","DET"
"131","ὄρεξιν","NOUN"
"132","οὐ","ADV"
"133","θαυμάζοι","VERB"
"134","ἂν","ADV"
"135","τὰς","DET"
"136","ἡδονάς","NOUN"
"137",".","PUNCT"
"138","δεῖ","VERB"
"139","δὲ","ADV"
"140","καὶ","CCONJ"
"141","ἐλευθέριον","ADJ"
"142","εἶναι","AUX"
"143","τῇ","DET"
"144","γνώμῃ","NOUN"
"145","τὸν","DET"
"146","μέλλοντα","VERB"
"147","φιλοσοφεῖν","VERB"
"148","·","PUNCT"
"149","ἐναντιώτατον","ADJ"
"150","γὰρ","ADV"
"151","μικρολογία","NOUN"
"152","ψυχῇ","NOUN"
"153","μελλούσῃ","VERB"
"154","θεωρεῖν","VERB"
"155","τὰ","DET"
"156","θεῖα","ADJ"
"157","καὶ","CCONJ"
"158","ἀνθρώπινα","ADJ"
"159",".","PUNCT"
"160","καὶ","CCONJ"
"161","πρὸς","ADP"
"162","δικαιοσύνην","NOUN"
"163","δὲ","ADV"
"164","πεφυκέναι","VERB"
"165","χρὴ","VERB"
"166","αὐτόν","PRON"
"167",",","PUNCT"
"168","εἴγε","SCONJ"
"169","καὶ","CCONJ"
"170","πρὸς","ADP"
"171","ἀλήθειαν","NOUN"
"172","καὶ","CCONJ"
"173","πρὸς","ADP"
"174","ἐλευθερίαν","NOUN"
"175","καὶ","CCONJ"
"176","πρὸς","ADP"
"177","σωφροσύνην","NOUN"
"178",",","PUNCT"
"179","προσεῖναι","VERB"
"180","δὲ","ADV"
"181","αὐτῷ","PRON"
"182","καὶ","CCONJ"
"183","εὐμάθειαν","NOUN"
"184","καὶ","CCONJ"
"185","μνήμην","NOUN"
"186","·","PUNCT"
"187","εἰδοποιεῖ","VERB"
"188","δὲ","ADV"
"189","καὶ","ADV"
"190","ταῦτα","ADJ"
"191","τὸν","DET"
"192","φιλόσοφον","ADJ"
"193",".","PUNCT"
"194","αὗται","DET"
"195","δὲ","ADV"
"196","αἱ","DET"
"197","εὐφυΐαι","NOUN"
"198","παιδείας","NOUN"
"199","μὲν","ADV"
"200","ὀρθῆς","ADJ"
"201","καὶ","CCONJ"
"202","τροφῆς","NOUN"
"203","τῆς","DET"
"204","προσηκούσης","VERB"
"205","τυχοῦσαι","VERB"
"206","τέλεον","ADJ"
"207","ἀποφαίνουσι","VERB"
"208","πρὸς","ADP"
"209","ἀρετήν","NOUN"
"210",",","PUNCT"
"211","ἀμεληθεῖσαι","VERB"
"212","δὲ","ADV"
"213","μεγάλων","ADJ"
"214","κακῶν","ADJ"
"215","αἴτιαι","ADJ"
"216","γίνονται","VERB"
"217","·","PUNCT"
"218","ταύτας","ADJ"
"219","δὲ","ADV"
"220","καὶ","ADV"
"221","ὁμωνύμως","ADV"
"222","ταῖς","DET"
"223","ἀρεταῖς","NOUN"
"224","εἴωθεν","VERB"
"225","ὀνομάζειν","VERB"
"226","ὁ","DET"
"227","Πλάτων","PROPN"
"228",",","PUNCT"
"229","σωφροσύνῃ","NOUN"
"230","τε","CCONJ"
"231","καὶ","CCONJ"
"232","ἀνδρείᾳ","NOUN"
"233","καὶ","CCONJ"
"234","δικαιοσύνῃ","NOUN"
"235",".","PUNCT"
"236","Διττοῦ","ADJ"
"237","δ᾽","ADV"
"238","ὄντος","AUX"
"239","τοῦ","DET"
"240","βίου","NOUN"
"241",",","PUNCT"
"242","τοῦ","DET"
"243","μὲν","ADV"
"244","θεωρητικοῦ","ADJ"
"245",",","PUNCT"
"246","τοῦ","DET"
"247","δὲ","ADV"
"248","πρακτικοῦ","ADJ"
"249",",","PUNCT"
"250","τοῦ","DET"
"251","μὲν","ADV"
"252","θεωρητικοῦ","ADJ"
"253","τὸ","DET"
"254","κεφάλαιον","NOUN"
"255","ἐν","ADP"
"256","τῇ","DET"
"257","γνώσει","NOUN"
"258","τῆς","DET"
"259","ἀληθείας","NOUN"
"260","κεῖται","VERB"
"261",",","PUNCT"
"262","τοῦ","DET"
"263","πρακτικοῦ","ADJ"
"264","δὲ","ADV"
"265","ἐν","ADP"
"266","τῷ","DET"
"267","πρᾶξαι","VERB"
"268","τὰ","DET"
"269","ὑπαγορευόμενα","VERB"
"270","ἐκ","ADP"
"271","τοῦ","DET"
"272","λόγου","NOUN"
"273",".","PUNCT"
"274","τίμιος","ADJ"
"275","μὲν","ADV"
"276","δὴ","ADV"
"277","ὁ","DET"
"278","θεωρητικὸς","ADJ"
"279","βίος","NOUN"
"280",",","PUNCT"
"281","ἑπόμενος","VERB"
"282","δὲ","ADV"
"283","καὶ","CCONJ"
"284","ἀναγκαῖος","ADJ"
"285","ὁ","DET"
"286","πρακτικός","ADJ"
"287","·","PUNCT"
"288","ὅτι","SCONJ"
"289","δὲ","ADV"
"290","τοῦτο","ADJ"
"291","οὕτως","ADV"
"292","ἔχει","VERB"
"293",",","PUNCT"
"294","ἐντεῦθεν","ADV"
"295","ἂν","ADV"
"296","γένοιτο","VERB"
"297","δῆλον","ADJ"
"298",".","PUNCT"
"299","ἔστι","AUX"
"300","τοίνυν","ADV"
"301","ἡ","DET"
"302","θεωρία","NOUN"
"303","ἐνέργεια","NOUN"
"304","τοῦ","DET"
"305","νοῦ","NOUN"
"306","νοοῦντος","VERB"
"307","τὰ","DET"
"308","νοητά","ADJ"
"309",",","PUNCT"
"310","ἡ","DET"
"311","δὲ","ADV"
"312","πρᾶξις","NOUN"
"313","ψυχῆς","NOUN"
"314","λογικῆς","ADJ"
"315","ἐνέργεια","NOUN"
"316","διὰ","ADP"
"317","σώματος","NOUN"
"318","γινομένη","VERB"
"319",".","PUNCT"
"320","ἡ","DET"
"321","ψυχὴ","NOUN"
"322","δὴ","ADV"
"323","θεωροῦσα","VERB"
"324","μὲν","ADV"
"325","τὸ","DET"
"326","θεῖον","ADJ"
"327","καὶ","CCONJ"
"328","τὰς","DET"
