"ID","TOKEN","LEMMA"
"1","äü","äü"
"2","ἔτι","ἔτι"
"3","δὲ","δέ"
"4","καὶ","καί"
"5","Εὐπόλεμος","Εὐπόλεμος"
"6","ἐν","ἐν"
"7","τῇ","ὁ"
"8","ὁμοίᾳ","ὅμοιος"
"9","πραγματείᾳ","πραγματεία"
"10","τὰ","ὁ"
"11","πάντα","πᾶς"
"12","ἔτη","ἔτος"
"13","φησὶν","φημί"
"14","ἀπὸ","ἀπό"
"15","Ἀδὰμ","Ἀδάμ"
"16","ἄχρι","ἄχρι"
"17","τοῦ","ὁ"
"18","πέμπτου","πέμπτος"
"19","ἔτους","ἔτος"
"20","Δημητρίου","Δημήτριος"
"21","βασιλείας","βασιλεία"
"22","Πτολεμαίου","Πτολεμαῖος"
"23","τὸ","ὁ"
"24","δωδέκατον","δωδέκατος"
"25","βασιλεύοντος","βασιλεύω"
"26","Αἰγύπτου","Αἴγυπτος"
"27","συνάγεσθαι","συνάγω"
"28","ἔτη","ἔτος"
"29",",",","
"30","ερμθ","ερμθ"
"31","́.","́."
"32","ἀφ᾽","ἀφ᾽"
"33","οὗ","ὅς"
"34","δὲ","δέ"
"35","χρόνου","χρόνος"
"36","ἐξήγαγε","ἐξάγω"
"37","Μωυσῆς","Μωυσῆς"
"38","τοὺς","ὁ"
"39","Ἰουδαίους","Ἰουδαῖος"
"40","ἐξ","ἐκ"
"41","Αἰγύπτου","Αἴγυπτος"
"42","ἐπὶ","ἐπί"
"43","τὴν","ὁ"
"44","προειρημένην","προλέγω"
"45","προθεσμίαν","προθεσμία"
"46","συνάγεσθαι","συνάγω"
"47","ἔτη","ἔτος"
"48","δισχίλια","δισχίλιοι"
"49","πεντακόσια","πεντακόσιοι"
"50","ὀγδοήκοντα","ὀγδοήκοντα"
"51",".","."
"52","ἀπὸ","ἀπό"
"53","δὲ","δέ"
"54","τοῦ","ὁ"
"55","χρόνου","χρόνος"
"56","τούτου","οὗτος"
"57","ἄχρι","ἄχρι"
"58","τῶν","ὁ"
"59","ἐν","ἐν"
"60","Ῥώμῃ","Ῥώμη"
"61","ὑπάτων","ὕπατος"
"62","Γναίου","Γναῖος"
"63","Δομετίου","Δομετῖος"
"64","καὶ","καί"
"65","Ἀσινίου","Ἀσινίας"
"66","συναθροίζεται","συναθροίζω"
"67","ἔτη","ἔτος"
"68","ἑκατὸν","ἑκατόν"
"69","εἴκοσι","εἴκοσι"
"70",".","."
