"ID","TOKEN","IS_STOP"
"1","Θ́́ΟΛΟΓΙΟΣ","FALSE"
"2",".","FALSE"
"3","ΠΕΡΙ","FALSE"
"4","ΥΙΟΥ","FALSE"
"5",".","FALSE"
"6","Ἃ","TRUE"
"7","μὲν","TRUE"
"8","οὖν","TRUE"
"9","εἴποι","FALSE"
"10","τις","TRUE"
"11","ἂν","TRUE"
"12","ἐπικόπτων","FALSE"
"13","τὴν","TRUE"
"14","περὶ","TRUE"
"15","τὸν","TRUE"
"16","λόγον","FALSE"
"17","αὐτῶν","TRUE"
"18","ἑτοιμότητα","FALSE"
"19","καὶ","TRUE"
"20","ταχύτητα","FALSE"
"21",",","FALSE"
"22","καὶ","TRUE"
"23","τὸ","TRUE"
"24","τοῦ","TRUE"
"25","τάχους","FALSE"
"26","ἐπισφαλὲς","FALSE"
"27","ἐν","TRUE"
"28","πᾶσι","FALSE"
"29","μὲν","TRUE"
"30","πράγμασι","FALSE"
"31",",","FALSE"
"32","μάλιστα","FALSE"
"33","δὲ","TRUE"
"34","ἐν","TRUE"
"35","τοῖς","TRUE"
"36","περὶ","TRUE"
"37","θεοῦ","FALSE"
"38","λόγοις","FALSE"
"39",",","FALSE"
"40","ταῦτά","TRUE"
"41","ἐστιν","TRUE"
"42",".","FALSE"
"43","ἐπεὶ","FALSE"
"44","δὲ","TRUE"
"45","τὸ","TRUE"
"46","μὲν","TRUE"
"47","ἐπιτιμᾷν","FALSE"
"48","οὐ","TRUE"
"49","μέγα","FALSE"
"50","·","FALSE"
"51","ῥᾷστον","FALSE"
"52","γὰρ","TRUE"
"53","καὶ","TRUE"
"54","τοῦ","TRUE"
"55","βουλομένου","FALSE"
"56","παντός","FALSE"
"57","·","FALSE"
"58","τὸ","TRUE"
"59","δὲ","TRUE"
"60","ἀντεισάγειν","FALSE"
"61","τὴν","TRUE"
"62","ἑαυτοῦ","TRUE"
"63","γνώμην","FALSE"
"64","ἀνδρὸς","FALSE"
"65","εὐσεβοῦς","FALSE"
"66","καὶ","TRUE"
"67","νοῦν","FALSE"
"68","ἔχοντος","FALSE"
"69","·","FALSE"
"70","φέρε","FALSE"
"71",",","FALSE"
"72","τῷ","TRUE"
"73","ἁγίῳ","FALSE"
"74","θαρρήσαντες","FALSE"
"75","πνεύματι","FALSE"
"76",",","FALSE"
"77","τῷ","TRUE"
"78","παρ","FALSE"
"79","αὐτῶν","TRUE"
"80","μὲν","TRUE"
"81","ἀτιμαζομένῳ","FALSE"
"82",",","FALSE"
"83","παρ","FALSE"
"84","ἡμῶν","TRUE"
"85","δὲ","TRUE"
"86","προσκυνουμένῳ","FALSE"
"87",",","FALSE"
"88","τὰς","TRUE"
"89","ἡμετέρας","FALSE"
"90","περὶ","TRUE"
"91","τῆς","TRUE"
"92","θεότητος","FALSE"
"93","ὑπολήψεις","FALSE"
"94",",","FALSE"
"95","αἵ","TRUE"
"96","τινές","TRUE"
"97","ποτέ","FALSE"
"98","εἰσιν","TRUE"
"99",",","FALSE"
"100","ὥσπερ","FALSE"
"101","τινὰ","TRUE"
"102","τόκον","FALSE"
"103","εὐγενῆ","FALSE"
"104","τε","TRUE"
"105","καὶ","TRUE"
"106","ὥριμον","FALSE"
"107","εἰς","TRUE"
"108","φῶς","FALSE"
"109","προενέγκωμεν","FALSE"
"110","·","FALSE"
"111","οὐδὲ","TRUE"
"112","ἄλλοτε","FALSE"
"113","μὲν","TRUE"
"114","σιωπήσαντες","FALSE"
"115",",","FALSE"
"116","τοῦτο","TRUE"
"117","γὰρ","TRUE"
"118","μόνον","FALSE"
"119","ἡμεῖς","TRUE"
"120","νεανικοί","FALSE"
"121","τε","TRUE"
"122","καὶ","TRUE"
"123","μεγαλόφρονες","FALSE"
"124",",","FALSE"
"125","νῦν","FALSE"
"126","δὲ","TRUE"
"127","καὶ","TRUE"
"128","μᾶλλον","FALSE"
"129","παρρησιαζόμενοι","FALSE"
"130","τὴν","TRUE"
"131","ἀλήθειαν","FALSE"
"132","·","FALSE"
"133","ἵνα","FALSE"
"134","μὴ","TRUE"
"135","τῇ","TRUE"
"136","ὑποστολῇ","FALSE"
"137",",","FALSE"
"138","καθὼς","FALSE"
"139","γέγραπται","FALSE"
"140",",","FALSE"
"141","τὸ","TRUE"
"142","μὴ","TRUE"
"143","εὐδοκεῖσθαι","FALSE"
"144","κατακριθῶμεν","FALSE"
"145",".","FALSE"
"146","διττοῦ","FALSE"
"147","δὲ","TRUE"
"148","ὄντος","TRUE"
"149","λόγου","FALSE"
"150","παντός","FALSE"
"151",",","FALSE"
"152","τοῦ","TRUE"
"153","μὲν","TRUE"
"154","τὸ","TRUE"
"155","οἰκεῖον","FALSE"
"156","κατασκευάζοντος","FALSE"
"157",",","FALSE"
"158","τοῦ","TRUE"
"159","δὲ","TRUE"
"160","τὸ","TRUE"
"161","ἀντίπαλον","FALSE"
"162","ἀνατρέποντος","FALSE"
"163",",","FALSE"
"164","καὶ","TRUE"
"165","ἡμεῖς","TRUE"
"166","τὸν","TRUE"
"167","οἰκεῖον","FALSE"
"168","ἐκθέμενοι","FALSE"
"169","πρότερον","FALSE"
"170",",","FALSE"
"171","οὕτω","TRUE"
"172","τὰ","TRUE"
"173","τῶν","TRUE"
"174","ἐναντίων","FALSE"
"175","ἀνατρέψαι","FALSE"
"176","πειρασόμεθα","FALSE"
"177","·","FALSE"
"178","καὶ","TRUE"
"179","ἀμφότερα","FALSE"
"180","ὡς","TRUE"
"181","οἷόν","FALSE"
"182","τε","TRUE"
"183","διὰ","TRUE"
"184","βραχέων","FALSE"
"185",",","FALSE"
"186","ἵν","FALSE"
"187","εὐσύνοπτα","FALSE"
"188","γένηται","FALSE"
"189","τὰ","TRUE"
"190","λεγόμενα","FALSE"
"191",",","FALSE"
"192","ὥσπερ","FALSE"
"193","ὃν","TRUE"
"194","αὐτοὶ","TRUE"
"195","λόγον","FALSE"
"196","εἰσαγωγικὸν","FALSE"
"197","ἐπενόησαν","FALSE"
"198","πρὸς","TRUE"
"199","ἐξαπάτην","FALSE"
"200","τῶν","TRUE"
"201","ἁπλουστέρων","FALSE"
"202","ἢ","TRUE"
"203","εὐηθεστέρων","FALSE"
"204",",","FALSE"
"205","καὶ","TRUE"
"206","μὴ","TRUE"
"207","τῷ","TRUE"
"208","μήκει","FALSE"
"209","τοῦ","TRUE"
"210","λόγου","FALSE"
"211","διαχεθῇ","FALSE"
"212","τὰ","TRUE"
"213","νοούμενα","FALSE"
"214",",","FALSE"
"215","καθάπερ","FALSE"
"216","ὕδωρ","FALSE"
"217","οὐ","TRUE"
"218","σωλῆνι","FALSE"
"219","σφιγγόμενον","FALSE"
"220",",","FALSE"
"221","ἀλλὰ","TRUE"
"222","κατὰ","TRUE"
"223","πεδίου","FALSE"
"224","χεόμενον","FALSE"
"225","καὶ","TRUE"
"226","λυόμενον","FALSE"
"227",".","FALSE"
"228","τρεῖς","FALSE"
"229","αἱ","TRUE"
"230","ἀνωτάτω","FALSE"
"231","δόξαι","FALSE"
"232","περὶ","TRUE"
"233","θεοῦ","FALSE"
"234",",","FALSE"
"235","ἀναρχία","FALSE"
"236",",","FALSE"
"237","καὶ","TRUE"
"238","πολυαρχία","FALSE"
"239",",","FALSE"
"240","καὶ","TRUE"
"241","μοναρχία","FALSE"
"242",".","FALSE"
"243","αἱ","TRUE"
"244","μὲν","TRUE"
"245","οὖν","TRUE"
"246","δύο","FALSE"
"247","παισὶν","FALSE"
"248","Ελλήνων","FALSE"
"249","ἐπαίχθησαν","FALSE"
"250",",","FALSE"
"251","καὶ","TRUE"
"252","παιζέσθωσαν","FALSE"
"253",".","FALSE"
"254","τό","TRUE"
"255","τε","TRUE"
"256","γὰρ","TRUE"
"257","ἄναρχον","FALSE"
"258","ἄτακτον","FALSE"
"259","·","FALSE"
"260","τό","TRUE"
"261","τε","TRUE"
"262","πολύαρχον","FALSE"
"263","στασιῶδες","FALSE"
"264",",","FALSE"
"265","καὶ","TRUE"
"266","οὕτως","TRUE"
"267","ἄναρχον","FALSE"
"268",",","FALSE"
"269","καὶ","TRUE"
"270","οὕτως","TRUE"
"271","ἄτακτον","FALSE"
"272",".","FALSE"
"273","εἰς","TRUE"
"274","ταὐτὸν","TRUE"
"275","γὰρ","TRUE"
"276","ἀμφότερα","FALSE"
"277","φέρει","FALSE"
"278",",","FALSE"
"279","τὴν","TRUE"
"280","ἀταξίαν","FALSE"
"281",",","FALSE"
"282","ἡ","TRUE"
"283","δὲ","TRUE"
"284","εἰς","TRUE"
"285","λύσιν","FALSE"
"286","·","FALSE"
"287","ἀταξία","FALSE"
"288","γὰρ","TRUE"
"289","μελέτη","FALSE"
"290","λύσεως","FALSE"
"291",".","FALSE"
"292","ἡμῖν","TRUE"
"293","δὲ","TRUE"
"294","μοναρχία","FALSE"
"295","τὸ","TRUE"
"296","τιμώμενον","FALSE"
"297","·","FALSE"
"298","μοναρχία","FALSE"
"299","δέ","TRUE"
"300",",","FALSE"
"301","οὐχ","TRUE"
"302","ἢν","TRUE"
"303","ἓν","FALSE"
"304","περιγράφει","FALSE"
"305","πρόσωπον","FALSE"
"306","·","FALSE"
"307","ἔστι","TRUE"
"308","γὰρ","TRUE"
"309","καὶ","TRUE"
"310","τὸ","TRUE"
"311","ἓν","FALSE"
"312","στασιάζον","FALSE"
"313","πρὸς","TRUE"
