"ID","TOKEN","UPOS"
"1","Ι","INTJ"
"2",".","PUNCT"
"3","Καὶ","CCONJ"
"4","ταῦτα","ADJ"
"5","ἐν","ADP"
"6","τινι","DET"
"7","ἀντιγράφῳ","NOUN"
"8","ἐν","ADP"
"9","τῷ","DET"
"10","ὀγδόῳ","ADJ"
"11","τόμῳ","NOUN"
"12","εὕρομεν","VERB"
"13","Προοίμιον","NOUN"
"14","Ἔτος","NOUN"
"15","τοῦτο","DET"
"16","ἦν","AUX"
"17","ἐννεακαιδέκατον","ADJ"
"18","τῆς","DET"
"19","Διοκλητιανοῦ","PROPN"
"20","βασιλείας","NOUN"
"21",",","PUNCT"
"22","Ξανθικὸς","ADJ"
"23","μὴν","NOUN"
"24",",","PUNCT"
"25","ὃς","PRON"
"26","λέγοιτ᾿","VERB"
"27","ἂν","ADV"
"28","Ἀπρίλλιος","PROPN"
"29","κατὰ","ADP"
"30","῾Ρωμαίους","ADJ"
"31",",","PUNCT"
"32","ἐν","ADP"
"33","ᾧ","PRON"
"34","τῆς","DET"
"35","τοῦ","DET"
"36","σωτηρίου","ADJ"
"37","πάθους","NOUN"
"38","ἑορτῆς","NOUN"
"39","ἐπιλαμβανούσης","VERB"
"40","ἡγεῖτο","VERB"
"41","μὲν","ADV"
"42","Φλαβιανὸς","PROPN"
"43","τοῦ","DET"
"44","τῶν","DET"
"45","Παλαιστίνων","ADJ"
"46","ἔθνους","NOUN"
"47",",","PUNCT"
"48","ἥπλωτο","VERB"
"49","δ᾿","ADV"
"50","ἀθρόως","ADV"
"51","πανταχοῦ","ADV"
"52","γράμματα","NOUN"
"53",",","PUNCT"
"54","τὰς","DET"
"55","μὲν","ADV"
"56","ἐκκλησίας","NOUN"
"57","εἰς","ADP"
"58","ἔδαφος","NOUN"
"59","φέρειν","VERB"
"60",",","PUNCT"
"61","τὰς","DET"
"62","δὲ","ADV"
"63","γραφὰς","NOUN"
"64","ἀφανεῖς","ADJ"
"65","πυρὶ","NOUN"
"66","γενέσθαι","VERB"
"67","προστάττοντα","VERB"
"68",",","PUNCT"
"69","καὶ","CCONJ"
"70","τοὺς","DET"
"71","μὲν","ADV"
"72","τιμῆς","NOUN"
"73","ἐπειλημμένους","VERB"
"74","ἀτίμους","ADJ"
"75",",","PUNCT"
"76","τοὺς","PRON"
"77","δὲ","ADV"
"78","ἐν","ADP"
"79","οἰκετίαις","NOUN"
"80",",","PUNCT"
"81","εἰ","SCONJ"
"82","ἐπιμένοιεν","VERB"
"83","τῇ","DET"
"84","τοῦ","DET"
"85","Χριστιανισμοῦ","NOUN"
"86","προθέσει","NOUN"
"87",",","PUNCT"
"88","ἐλευθερίας","NOUN"
"89","στερίσκεσθαι","VERB"
"90","προαγορεύοντα","VERB"
"91",".","PUNCT"
"92","καὶ","CCONJ"
"93","ἡ","DET"
"94","μὲν","ADV"
"95","τῆς","DET"
"96","πρώτης","ADJ"
"97","καθ᾿","ADP"
"98","ἡμῶν","PRON"
"99","γραφῆς","NOUN"
"100","τοιαύτη","ADJ"
"101","τις","DET"
"102","ἦν","AUX"
"103","δύναμις","NOUN"
"104",".","PUNCT"
"105","μετ᾿","ADP"
"106","οὐ","ADV"
"107","πολὺ","ADJ"
"108","δὲ","ADV"
"109","ἑτέρων","ADJ"
"110","ἐπιφοιτησάντων","VERB"
"111","γραμμάτων","NOUN"
"112","προσετάττετο","VERB"
"113","τοὺς","DET"
"114","τῶν","DET"
"115","ἐκκλησιῶν","NOUN"
"116","προέδρους","NOUN"
"117","πάντας","DET"
"118","πανταχῆ","ADV"
"119","πρῶτον","ADJ"
"120","μὲν","ADV"
"121","δεσμοῖς","NOUN"
