"ID","TOKEN","LEMMA"
"1","εἰς","εἰς"
"2","Διονυσίου","Διονύσιος"
"3","τοῦ","ὁ"
"4","γραμματιστοῦ","γραμματιστής"
"5","εἰσῆλθον","εἰσέρχομαι"
"6",",",","
"7","καὶ","καί"
"8","εἶδον","ὁράω"
"9","αὐτόθι","αὐτόθι"
"10","τῶν","ὁ"
"11","τε","τε"
"12","νέων","νέος"
"13","τοὺς","ὁ"
"14","ἐπιεικεστάτους","ἐπιεικής"
"15","δοκοῦντας","δοκέω"
"16","εἶναι","εἰμί"
"17","τὴν","ὁ"
"18","ἰδέαν","ἰδέα"
"19","καὶ","καί"
"20","πατέρων","πατήρ"
"21","εὐδοκίμων","εὐδόκιμος"
"22",",",","
"23","καὶ","καί"
"24","τούτων","οὗτος"
"25","ἐραστάς","ἐραστής"
"26",".","."
"27","ἐτυγχανέτην","τυγχάνω"
"28","οὖν","οὖν"
"29","δύο","δύο"
"30","τῶν","ὁ"
"31","μειρακίων","μειράκιον"
"32","ἐρίζοντε","ἐρίζω"
"33",",",","
"34","περὶ","περί"
"35","ὅτου","ὅστις"
"36","δέ","δέ"
"37",",",","
"38","οὐ","οὐ"
"39","σφόδρα","σφόδρα"
"40","κατήκουον","κατακούω"
"41",".","."
"42","ἐφαινέσθην","φαίνω"
"43","μέντοι","μέντοι"
"44","ἢ","ἤ"
"45","περὶ","περί"
"46","Ἀναξαγόρου","Ἀναξαγόρας"
"47","ἢ","ἤ"
"48","περὶ","περί"
"49","Οἰνοπίδου","Οἰνοπίδης"
"50","ἐρίζειν","ἐρίζω"
"51","·","·"
"52","κύκλους","κύκλος"
"53","γοῦν","γοῦν"
"54","γράφειν","γράφω"
"55","ἐφαινέσθην","φαίνω"
"56","καὶ","καί"
"57","ἐγκλίσεις","ἔγκλισις"
"58","τινὰς","τίς"
"59","ἐμιμοῦντο","μιμέομαι"
"60","τοῖν","ὁ"
"61","χεροῖν","χείρ"
"62","ἐπικλίνοντε","ἐπικλίνω"
"63","καὶ","καί"
"64","μάλʼ","μάλα"
"65","ἐσπουδακότε","σπουδάζω"
"66",".","."
"67","κἀγώ","ἐγώ"
"68","—","—"
"69","καθήμην","κάθημαι"
"70","γὰρ","γάρ"
"71","παρὰ","παρά"
"72","τὸν","ὁ"
"73","ἐραστὴν","ἐραστής"
"74","τοῦ","ὁ"
"75","ἑτέρου","ἕτερος"
"76","αὐτοῖν","αὐτός"
"77","—","—"
"78","κινήσας","κινέω"
"79","οὖν","οὖν"
"80","αὐτὸν","αὐτός"
"81","τῷ","ὁ"
"82","ἀγκῶνι","ἀγκών"
"83","ἠρόμην","ἔρομαι"
"84","ὅτι","ὅτι"
"85","ποτὲ","ποτε"
"86","οὕτως","οὕτως"
"87","ἐσπουδακότε","σπουδάζω"
"88","τὼ","ὁ"
"89","μειρακίω","μειράκιον"
"90","εἴτην","εἰμί"
"91",",",","
"92","καὶ","καί"
"93","εἶπον","λέγω"
"94","·","·"
"95","ἦ","ἦ"
"96","που","ποῦ"
"97","μέγα","μέγας"
"98","τι","τίς"
"99","καὶ","καί"
"100","καλόν","καλός"
"101","ἐστι","εἰμί"
"102","περὶ","περί"
"103","ὃ","ὁ"
"104","τοσαύτην","τοσοῦτος"
"105","σπουδὴν","σπουδή"
"106","πεποιημένω","ποιέω"
"107","ἐστόν","εἰμί"
"108",";",";"
"109","ὁ","ὁ"
"110","δʼ","δέ"
"111","εἶπε","λέγω"
"112",",",","
"113","ποῖον","ποῖος"
"114",",",","
"115","ἔφη","φημί"
"116",",",","
"117","μέγα","μέγας"
"118","καὶ","καί"
"119","καλόν","καλός"
"120",";",";"
"121","ἀδολεσχοῦσι","ἀδολεσχέω"
"122","μὲν","μέν"
"123","οὖν","οὖν"
"124","οὗτοί","οὗτος"
"125","γε","γε"
"126","περὶ","περί"
"127","τῶν","ὁ"
"128","μετεώρων","μετέωρος"
"129","καὶ","καί"
"130","φλυαροῦσι","φλυαρέω"
"131","φιλοσοφοῦντες","φιλοσοφέω"
"132",".","."
"133","καὶ","καί"
"134","ἐγὼ","ἐγώ"
"135","θαυμάσας","θαυμάζω"
"136","αὐτοῦ","αὐτός"
"137","τὴν","ὁ"
"138","ἀπόκρισιν","ἀπόκρισις"
"139","εἶπον","λέγω"
"140","·","·"
"141","ὦ","ὦ"
"142","νεανία","νεανία"
"143",",",","
"144","αἰσχρὸν","αἰσχρός"
"145","δοκεῖ","δοκέω"
"146","σοι","σύ"
"147","εἶναι","εἰμί"
"148","τὸ","ὁ"
"149","φιλοσοφεῖν","φιλοσοφέω"
"150",";",";"
"151","ἢ","ἤ"
"152","τί","τίς"
"153","οὕτως","οὕτως"
"154","χαλεπῶς","χαλεπῶς"
"155","λέγεις","λέγω"
"156",";",";"
"157","καὶ","καί"
"158","ὁ","ὁ"
"159","ἕτερος","ἕτερος"
"160","—","—"
"161","πλησίον","πλησίος"
"162","γὰρ","γάρ"
"163","καθήμενος","κάθημαι"
"164","ἐτύγχανεν","τυγχάνω"
"165","αὐτοῦ","αὐτός"
"166",",",","
"167","ἀντεραστὴς","ἀντεραστής"
"168","ὤν","οὖν"
"169","—","—"
"170","ἀκούσας","ἀκούω"
"171","ἐμοῦ","ἐμός"
"172","τε","τε"
"173","ἐρομένου","ἔρομαι"
"174","κἀκείνου","ἐκεῖνος"
"175","ἀποκρινομένου","ἀποκρίνω"
"176",",",","
"177","οὐ","οὐ"
"178","πρὸς","πρός"
"179","σοῦ","σύ"
"180","γε","γε"
"181",",",","
"182","ἔφη","φημί"
"183",",",","
"184","ὦ","ὦ"
"185","Σώκρατες","Σωκράτης"
"186",",",","
"187","ποιεῖς","ποιέω"
"188","τὸ","ὁ"
"189","καὶ","καί"
"190","ἀνερέσθαι","ἀνείρομαι"
"191","τοῦτον","οὗτος"
"192","εἰ","εἰ"
"193","αἰσχρὸν","αἰσχρός"
"194","ἡγεῖται","ἡγέομαι"
"195","φιλοσοφίαν","φιλοσοφία"
"196","εἶναι","εἰμί"
"197",".","."
"198","ἢ","ἤ"
"199","οὐκ","οὐ"
"200","οἶσθα","οἶδα"
"201","τοῦτον","οὗτος"
"202","ὅτι","ὅτι"
"203","τραχηλιζόμενος","τραχηλιζόμενος"
"204","καὶ","καί"
"205","ἐμπιμπλάμενος","ἐμπίμπλημι"
"206","καὶ","καί"
"207","καθεύδων","καθεύδω"
"208","πάντα","πᾶς"
"209","τὸν","ὁ"
"210","βίον","βίος"
"211","διατετέλεκεν","διατελέω"
"212",";",";"
"213","ὥστε","ὥστε"
"214","σὺ","σύ"
"215","τί","τίς"
"216","αὐτὸν","αὐτός"
"217","ᾤου","οἴομαι"
"218","ἀποκρινεῖσθαι","ἀποκρίνω"
"219","ἀλλʼ","ἀλλά"
"220","ἢ","ἤ"
"221","ὅτι","ὅτι"
"222","αἰσχρόν","αἰσχρός"
"223","ἐστι","εἰμί"
"224","φιλοσοφία","φιλοσοφία"
"225",";",";"
"226","ἦν","εἰμί"
"227","δὲ","δέ"
"228","οὗτος","οὗτος"
"229","μὲν","μέν"
"230","τοῖν","ὁ"
"231","ἐρασταῖν","ἐραστής"
"232","περὶ","περί"
"233","μουσικὴν","μουσικός"
"234","διατετριφώς","διατρίβω"
"235",",",","
"236","ὁ","ὁ"
"237","δʼ","δέ"
"238","ἕτερος","ἕτερος"
"239",",",","
"240","ὃν","ὅς"
"241","ἐλοιδόρει","ἐλοιδόρω"
"242",",",","
"243","περὶ","περί"
"244","γυμναστικήν","γυμναστικός"
"245",".","."
"246","καί","καί"
"247","μοι","ἐγώ"
"248","ἔδοξε","δοκέω"
"249","χρῆναι","χρή"
"250","τὸν","ὁ"
"251","μὲν","μέν"
"252","ἕτερον","ἕτερος"
"253","ἀφιέναι","ἀφίημι"
"254",",",","
"255","τὸν","ὁ"
"256","ἐρωτώμενον","ἐρωτάω"
"257",",",","
"258","ὅτι","ὅτι"
"259","οὐδʼ","οὐδέ"
"260","αὐτὸς","αὐτός"
"261","προσεποιεῖτο","προσποιέω"
"262","περὶ","περί"
"263","λόγων","λόγος"
"264","ἔμπειρος","ἔμπειρος"
"265","εἶναι","εἰμί"
"266","ἀλλὰ","ἀλλά"
"267","περὶ","περί"
"268","ἔργων","ἔργον"
"269",",",","
"270","τὸν","ὁ"
"271","δὲ","δέ"
"272","σοφώτερον","σοφός"
"273","προσποιούμενον","προσποιέω"
"274","εἶναι","εἰμί"
"275","διερωτῆσαι","διερωτέω"
"276",",",","
"277","ἵνα","ἵνα"
"278","καὶ","καί"
"279","εἴ","εἰ"
"280","τι","τίς"
"281","δυναίμην","δύναμαι"
"282","παρʼ","παρά"
"283","αὐτοῦ","αὐτός"
"284","ὠφεληθείην","ὠφελέω"
"285",".","."
"286","εἶπον","λέγω"
"287","οὖν","οὖν"
"288","ὅτι","ὅτι"
"289","εἰς","εἰς"
"290","κοινὸν","κοινός"
"291","μὲν","μέν"
"292","τὸ","ὁ"
"293","ἐρώτημα","ἐρώτημα"
"294","ἠρόμην","ἔρομαι"
"295","·","·"
"296","εἰ","εἰ"
"297","δὲ","δέ"
"298","σὺ","σύ"
"299","οἴει","οἴομαι"
"300","τοῦδε","ὅδε"
