"ID","TOKEN","LEMMA"
"1",",",","
"2",",",","
"3",".","."
"4","—πρὸς","—πρός"
"5","ἣν","ὅς"
"6",",",","
"7","æ","æ"
"8","ὁ","ὁ"
"9","Πινυτὸς","Πινυτός"
"10","ἀντιγράφων","ἀντιγράφω"
"11",",",","
"12","θαυμάζει","θαυμάζω"
"13","μὲν","μέν"
"14","καὶ","καί"
"15","ἀποδέχεται","ἀποδέχεται"
"16","τὸν","ὁ"
"17","Διονύσιον","Διονύσιος"
"18","·","·"
"19","ἀντιπαρακαλεῖ","ἀντιπαρακαλέω"
"20","δὲ","δέ"
"21","στεῤῥοτέρας","στεῤῥοτέρας"
"22","ἤδη","ἤδη"
"23","ποτὲ","ποτε"
"24","μεταδιδόναι","μεταδίδωμι"
"25","τροφῆς","τροφή"
"26",",",","
"27","τελειοτέροις","τελειοτέρω"
"28","γράμμασιν","γράμμα"
"29","εἰσαῦθις","εἰσαῦθις"
"30","τὸν","ὁ"
"31","παῤ","παῤ"
"32","αὐτῷ","αὐτός"
"33","λαὸν","λαός"
"34","ὑποθρέψαντα","ὑποθρέψαντα"
"35",",",","
"36","ὡς","ὡς"
"37","μὴ","μή"
"38","διατέλους","διατέλος"
"39","τοῖς","ὁ"
"40","γαλακτώδεσιν","γαλακτώδος"
"41","ἐνδιατρίβοντες","ἐνδιατρίβω"
"42","λόγοις","λόγος"
"43",",",","
"44","τῇ","ὁ"
"45","νηπιώδει","νηπιδώω"
"46","ἀγωγῇ","ἀγωγή"
"47","λάθοιεν","λάθω"
"48","καταγηράσαντες","καταγηράζω"
"49",".","."
"50","δι᾿","δι᾿"
"51","ἧς","ὅς"
"52","ἐπιστολῆς","ἐπιστολή"
"53","καὶ","καί"
"54","ἡ","ὁ"
"55","τοῦ","ὁ"
"56","Πινυτοῦ","Πινυτός"
"57","περὶ","περί"
"58","τὴν","ὁ"
"59","πίστιν","πίστις"
"60","ὀρθοδοξία","ὀρθοδοξία"
"61","τε","τε"
"62","καὶ","καί"
"63","φροντὶς","φροντίς"
"64","τῆς","ὁ"
"65","τῶν","ὁ"
"66","ὑπηκόων","ὑπήκοος"
"67","ὡφελείας","ὡφελεία"
"68",",",","
"69","τό","ὁ"
"70",",",","
"71","τε","τε"
"72","λόγιον","λόγιον"
"73","καὶ","καί"
"74","ἡ","ὁ"
"75","περὶ","περί"
"76","τὰ","ὁ"
"77","θεῖα","θεῖος"
"78","σύνεσις","σύνεσις"
"79",",",","
"80","ὡς","ὡς"
"81","δι᾿","δι᾿"
"82","ἀκριβεστάτης","ἀκριβεστάτης"
"83","ἀναδείκνυται","ἀναδείκνυμι"
"84","εἰκόνος","εἰκών"
"85",".","."
