"ID","TOKEN","LEMMA"
"1","Πέτρος","Πέτρος"
"2","ἀπόστολος","ἀπόστολος"
"3","Ἰησοῦ","Ἰησοῦς"
"4","Χριστοῦ","Χριστός"
"5","ἐκλεκτοῖς","ἐκλεκτός"
"6","παρεπιδήμοις","παρεπίδημος"
"7","διασπορᾶς","διασπορά"
"8","Πόντου","Πόντος"
"9",",",","
"10","Γαλατίας","Γαλατίας"
"11",",",","
"12","Καππαδοκίας","Καππαδοκία"
"13",",",","
"14","Ἀσίας","Ἀσία"
"15",",",","
"16","καὶ","καί"
"17","Βιθυνίας","Βιθυνία"
"18",",",","
"19","κατὰ","κατά"
"20","πρόγνωσιν","πρόγνωσις"
"21","θεοῦ","θεός"
"22","πατρός","πατήρ"
"23",",",","
"24","ἐν","ἐν"
"25","ἁγιασμῷ","ἁγιασμός"
"26","πνεύματος","πνεῦμα"
"27",",",","
"28","εἰς","εἰς"
"29","ὑπακοὴν","ὑπακοή"
"30","καὶ","καί"
"31","ῥαντισμὸν","ῥαντισμός"
"32","αἵματος","αἷμα"
"33","Ἰησοῦ","Ἰησοῦς"
"34","Χριστοῦ","Χριστός"
"35","·","·"
"36","χάρις","χάρις"
"37","ὑμῖν","ὑμεῖς"
"38","καὶ","καί"
"39","εἰρήνη","εἰρήνη"
"40","πληθυνθείη","πληθύνω"
"41",".","."
"42","Εὐλογητὸς","εὐλογητός"
"43","ὁ","ὁ"
"44","θεὸς","θεός"
"45","καὶ","καί"
"46","πατὴρ","πατήρ"
"47","τοῦ","ὁ"
"48","κυρίου","κύριος"
"49","ἡμῶν","ἡμεῖς"
"50","Ἰησοῦ","Ἰησοῦς"
"51","Χριστοῦ","Χριστός"
"52",",",","
"53","ὁ","ὁ"
"54","κατὰ","κατά"
"55","τὸ","ὁ"
"56","πολὺ","πολύς"
"57","αὐτοῦ","αὐτός"
"58","ἔλεος","ἔλεος"
"59","ἀναγεννήσας","ἀναγεννήω"
"60","ἡμᾶς","ἡμεῖς"
"61","εἰς","εἰς"
"62","ἐλπίδα","ἐλπίς"
"63","ζῶσαν","ζῶ"
"64","διʼ","διά"
"65","ἀναστάσεως","ἀνάστασις"
"66","Ἰησοῦ","Ἰησοῦς"
"67","Χριστοῦ","Χριστός"
"68","ἐκ","ἐκ"
"69","νεκρῶν","νεκρός"
"70",",",","
"71","εἰς","εἰς"
"72","κληρονομίαν","κληρονομία"
"73","ἄφθαρτον","ἄφθαρτος"
"74","καὶ","καί"
"75","ἀμίαντον","ἀμίαντος"
"76","καὶ","καί"
"77","ἀμάραντον","ἀμάραντος"
"78",",",","
"79","τετηρημένην","τηρέω"
"80","ἐν","ἐν"
"81","οὐρανοῖς","οὐρανός"
"82","εἰς","εἰς"
"83","ὑμᾶς","ὑμεῖς"
"84","τοὺς","ὁ"
"85","ἐν","ἐν"
"86","δυνάμει","δύναμις"
"87","θεοῦ","θεός"
"88","φρουρουμένους","φρουρέω"
"89","διὰ","διά"
"90","πίστεως","πίστις"
"91","εἰς","εἰς"
"92","σωτηρίαν","σωτηρία"
"93","ἑτοίμην","ἕτοιμος"
"94","ἀποκαλυφθῆναι","ἀποκαλύπτω"
"95","ἐν","ἐν"
"96","καιρῷ","καιρός"
"97","ἐσχάτῳ","ἔσχατος"
"98",".","."
"99","ἐν","ἐν"
"100","ᾧ","ὅς"
"101","ἀγαλλιᾶσθε","ἀγαλλιάω"
"102",",",","
"103","ὀλίγον","ὀλίγος"
"104","ἄρτι","ἄρτι"
"105","εἰ","εἰ"
"106","δέον","δέον"
"107","λυπηθέντες","λυπηθέντες"
"108","ἐν","ἐν"
"109","ποικίλοις","ποικίλος"
"110","πειρασμοῖς","πειρασμός"
"111",",",","
"112","ἵνα","ἵνα"
"113","τὸ","ὁ"
"114","δοκίμιον","δοκιμεῖον"
"115","ὑμῶν","ὑμεῖς"
"116","τῆς","ὁ"
"117","πίστεως","πίστις"
"118","πολυτιμότερον","πολύτιμος"
"119","χρυσίου","χρυσίον"
"120","τοῦ","ὁ"
"121","ἀπολλυμένου","ἀπόλλυμι"
"122","διὰ","διά"
"123","πυρὸς","πῦρ"
"124","δὲ","δέ"
"125","δοκιμαζομένου","δοκιμάζω"
"126","εὑρεθῇ","εὑρίσκω"
"127","εἰς","εἰς"
"128","ἔπαινον","ἔπαινος"
"129","καὶ","καί"
"130","δόξαν","δόξα"
"131","καὶ","καί"
"132","τιμὴν","τιμή"
"133","ἐν","ἐν"
"134","ἀποκαλύψει","ἀποκάλυψις"
"135","Ἰησοῦ","Ἰησοῦς"
"136","Χριστοῦ","Χριστός"
"137",".","."
"138","ὃν","ὅς"
"139","οὐκ","οὐ"
"140","ἰδόντες","ὁράω"
"141","ἀγαπᾶτε","ἀγαπάω"
"142",",",","
"143","εἰς","εἰς"
"144","ὃν","ὅς"
"145","ἄρτι","ἄρτι"
"146","μὴ","μή"
"147","ὁρῶντες","ὁράω"
"148","πιστεύοντες","πιστεύω"
"149","δὲ","δέ"
"150","ἀγαλλιᾶσθε","ἀγαλλιάω"
"151","χαρᾷ","χαρά"
"152","ἀνεκλαλήτῳ","ἀνεκλάλητος"
"153","καὶ","καί"
"154","δεδοξασμένῃ","δοξάζω"
"155",",",","
"156","κομιζόμενοι","κομίζω"
"157","τὸ","ὁ"
"158","τέλος","τέλος"
"159","τῆς","ὁ"
"160","πίστεως","πίστις"
"161","ὑμῶν","ὑμεῖς"
"162","σωτηρίαν","σωτηρία"
"163","ψυχῶν","ψυχή"
"164",".","."
"165","Περὶ","περί"
"166","ἧς","ὅς"
"167","σωτηρίας","σωτηρία"
"168","ἐξεζήτησαν","ἐκζητέω"
"169","καὶ","καί"
"170","ἐξηραύνησαν","ἐξερευνάω"
"171","προφῆται","προφήτης"
"172","οἱ","ὁ"
"173","περὶ","περί"
"174","τῆς","ὁ"
"175","εἰς","εἰς"
"176","ὑμᾶς","ὑμεῖς"
"177","χάριτος","χάρις"
"178","προφητεύσαντες","προφητεύω"
"179",",",","
"180","ἐραυνῶντες","ἐρευνάω"
"181","εἰς","εἰς"
"182","τίνα","τίς"
"183","ἢ","ἤ"
"184","ποῖον","ποῖος"
"185","καιρὸν","καιρός"
"186","ἐδήλου","δηλόω"
"187","τὸ","ὁ"
"188","ἐν","ἐν"
"189","αὐτοῖς","αὐτός"
"190","πνεῦμα","πνεῦμα"
"191","Χριστοῦ","Χριστός"
"192","προμαρτυρόμενον","προμαρτύρομαι"
"193","τὰ","ὁ"
"194","εἰς","εἰς"
"195","Χριστὸν","Χριστός"
"196","παθήματα","πάθημα"
"197","καὶ","καί"
"198","τὰς","ὁ"
"199","μετὰ","μετά"
"200","ταῦτα","οὗτος"
