"ID","TOKEN","UPOS"
"1","τὴν","DET"
"2","μὲν","ADV"
"3","παρασκευὴν","NOUN"
"4","ὁρᾶτε","VERB"
"5",",","PUNCT"
"6","ὦ","INTJ"
"7","ἄνδρες","NOUN"
"8","Ἀθηναῖοι","ADJ"
"9",",","PUNCT"
"10","καὶ","CCONJ"
"11","τὴν","DET"
"12","παράταξιν","NOUN"
"13","ὅση","PRON"
"14","γεγένηται","VERB"
"15",",","PUNCT"
"16","καὶ","CCONJ"
"17","τὰς","DET"
"18","κατὰ","ADP"
"19","τὴν","DET"
"20","ἀγορὰν","NOUN"
"21","δεήσεις","NOUN"
"22",",","PUNCT"
"23","αἷς","PRON"
"24","κέχρηνταί","VERB"
"25","τινες","ADJ"
"26","ὑπὲρ","ADP"
"27","τοῦ","DET"
"28","τὰ","DET"
"29","μέτρια","ADJ"
"30","καὶ","CCONJ"
"31","συνήθη","ADJ"
"32","μὴ","ADV"
"33","γίγνεσθαι","VERB"
"34","ἐν","ADP"
"35","τῇ","DET"
"36","πόλει","NOUN"
"37","·","PUNCT"
"38","ἐγὼ","PRON"
"39","δὲ","ADV"
"40","πεπιστευκὼς","VERB"
"41","ἥκω","VERB"
"42","πρῶτον","ADJ"
"43","μὲν","ADV"
"44","τοῖς","DET"
"45","θεοῖς","NOUN"
"46",",","PUNCT"
"47","ἔπειτα","ADV"
"48","τοῖς","DET"
"49","νόμοις","NOUN"
"50","καὶ","CCONJ"
"51","ὑμῖν","PRON"
"52",",","PUNCT"
"53","ἡγούμενος","VERB"
"54","οὐδεμίαν","DET"
"55","παρασκευὴν","NOUN"
"56","μεῖζον","ADJ"
"57","ἰσχύειν","VERB"
"58","παρʼ","ADP"
"59","ὑμῖν","PRON"
"60","τῶν","DET"
"61","νόμων","NOUN"
"62","καὶ","CCONJ"
"63","τῶν","DET"
"64","δικαίων","ADJ"
"65",".","PUNCT"
"66","ἐβουλόμην","VERB"
"67","μὲν","ADV"
"68","οὖν","ADV"
"69",",","PUNCT"
"70","ὦ","INTJ"
"71","ἄνδρες","NOUN"
"72","Ἀθηναῖοι","ADJ"
"73",",","PUNCT"
"74","καὶ","CCONJ"
"75","τὴν","DET"
"76","βουλὴν","NOUN"
"77","τοὺς","DET"
"78","πεντακοσίους","NUM"
"79","καὶ","CCONJ"
"80","τὰς","DET"
"81","ἐκκλησίας","NOUN"
"82","ὑπὸ","ADP"
"83","τῶν","DET"
