"ID","TOKEN","UPOS"
"1","äü","CCONJ"
"2","διὸ","ADV"
"3","καὶ","CCONJ"
"4","κέκραγεν","VERB"
"5","·","PUNCT"
"6","ἔλεον","NOUN"
"7","θέλω","VERB"
"8","καὶ","CCONJ"
"9","οὐ","ADV"
"10","θυσίαν","NOUN"
"11","·","PUNCT"
"12","οὐ","ADV"
"13","βούλομαι","VERB"
"14","τὸν","DET"
"15","θάνατον","NOUN"
"16","τοῦ","DET"
"17","ἁμαρτωλοῦ","NOUN"
"18",",","PUNCT"
"19","ἀλλὰ","CCONJ"
"20","τὴν","DET"
"21","μετάνοιαν","NOUN"
"22","·","PUNCT"
"23","κἂν","SCONJ"
"24","ὦσιν","AUX"
"25","αἱ","DET"
"26","ἁμαρτίαι","NOUN"
"27","ὑμῶν","PRON"
"28","ὡς","ADV"
"29","φοινικοῦν","ADJ"
"30","ἔριον","NOUN"
"31",",","PUNCT"
"32","ὡς","ADV"
"33","χιόνα","NOUN"
"34","λευκανῶ","VERB"
"35",",","PUNCT"
"36","κἂν","SCONJ"
"37","μελάντερον","ADJ"
"38","τοῦ","DET"
"39","σκότους","NOUN"
"40",",","PUNCT"
"41","ὡς","ADV"
"42","ἔριον","NOUN"
"43","λευκὸν","ADJ"
"44","ἐκνίψας","VERB"
"45","ποιήσω","VERB"
"46",".","PUNCT"
